country,sewer_billed,sewer_revenue,opex,san_staff,w_staff,propoor_popn,sewer_cr,opex_coverage,total_staff,revenue_per_staff
Uganda,44828000000.0,31573554673.0,928839000000.0,21426.0,21686.0,7360749.0,0.7043,0.034,43112.0,732361.168
cameroon,39099000000.0,34096312092.0,1000378000000.0,25069.0,25366.0,11095472.0,0.8721,0.0341,50435.0,676044.6534
lesotho,27437000000.0,23135137751.0,743949000000.0,14794.0,13648.0,1325209.0,0.8432,0.0311,28442.0,813414.5894
malawi,33903000000.0,27531416239.0,733743000000.0,16928.0,18830.0,4526435.0,0.8121,0.0375,35758.0,769937.2515
